"","Domain","Phylum","Class","Order","Family","Genus","Species","Trophic.Mode","Guild","Trait","Confidence.Ranking","Notes","Citation.Source","Genus_species"
"ASV129","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Lecanoraceae","Lecanora","glabrata","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Lecanora_glabrata"
"ASV130","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV131","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Hyphodermataceae","Hyphoderma","setigerum","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Hyphoderma_setigerum"
"ASV132","Fungi","Ascomycota","Sordariomycetes","Togniniales","Togniniaceae","Phaeoacremonium","NA","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Phaeoacremonium_NA"
"ASV133","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae","Physcia","stellaris","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Physcia_stellaris"
"ASV135","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Cerrenaceae","Cerrena","NA","Saprotroph","Wood Saprotroph","White Rot","Highly Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Cerrena_NA"
"ASV136","Fungi","Basidiomycota","Agaricomycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV137","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Scytalidium","lignicola","Saprotroph","Wood Saprotroph","Soft Rot","Probable","NULL","Nilsson T. 1973. Studies on wood degradation and cellulolytic activity of microfungi. No. 104; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688; http://www.apsnet.org/publications/commonnames/Pages/default.aspx","Scytalidium_lignicola"
"ASV138","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Chaetospermum","NA","Symbiotroph","Ectomycorrhizal","NULL","Probable","Terrestrial forming mycorrhizas with a wide range of plants including orchids, Ericaceae and liverworts as well as ectomycorrhizas with conifers and angiosperm trees (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Chaetospermum_NA"
"ASV139","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","cynaroidis","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Lophiostoma_cynaroidis"
"ASV142","Fungi","Basidiomycota","Agaricomycetes","Russulales","Hericiaceae","Hericium","coralloides","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Hericium_coralloides"
"ASV143","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","Trechisporales_fam_Incertae_sedis","Sistotremastrum","niveocremeum","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Sistotremastrum_niveocremeum"
"ASV144","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus","hobsonii","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Clitopilus_hobsonii"
"ASV145","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Pertusaria","pertusa","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Pertusaria_pertusa"
"ASV146","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_ord_Incertae_sedis","Sordariomycetes_fam_Incertae_sedis","Lentomitella","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Lentomitella_NA"
"ASV147","Fungi","Basidiomycota","Atractiellomycetes","Atractiellales","Atractiellales_fam_Incertae_sedis","Helicogloea","lagerheimii","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Helicogloea_lagerheimii"
"ASV148","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Calycina","claroflava","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Calycina_claroflava"
"ASV149","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Penicillium_NA"
"ASV150","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Cerrenaceae","Cerrena","NA","Saprotroph","Wood Saprotroph","White Rot","Highly Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Cerrena_NA"
"ASV151","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Occultibambusaceae","Brunneofusispora","sinensis","-","-","-","-","Unassigned","-","Brunneofusispora_sinensis"
"ASV152","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Chlorociboria","aeruginascens","Saprotroph","Wood Saprotroph","NULL","Probable","NULL","Costa IPMW, et al. 2012. Mycotaxon 119:26","Chlorociboria_aeruginascens"
"ASV153","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Fomitiporella","NA","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Fomitiporella_NA"
"ASV154","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Tremella","NA","Pathotroph","Fungal Parasite-Lichen Parasite","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Tremella_NA"
"ASV157","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","Exidiaceae","Exidia","NA","Saprotroph-Symbiotroph","Endophyte-Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688); David AS, et al. 2016. Microbial Ecology 71:912-926","Exidia_NA"
"ASV158","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","NA","NA","Saprotroph","Wood Saprotroph-Undefined Saprotroph","NULL","Probable","Lignicolous or terrestrial (in leaf litter); typically saprobic (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","NA_NA"
"ASV159","Fungi","Ascomycota","Dothideomycetes","Hysteriales","Hysteriaceae","Hysterobrevium","constrictum","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Hysterobrevium_constrictum"
"ASV162","Fungi","Basidiomycota","Atractiellomycetes","Atractiellales","Atractiellales_fam_Incertae_sedis","Helicogloea","pellucida","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Helicogloea_pellucida"
"ASV163","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Hormonema","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Hormonema_NA"
"ASV164","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","NA","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","NULL","Probable","Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)","Neocucurbitaria_NA"
"ASV166","Fungi","Ascomycota","Leotiomycetes","Helotiales","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV167","Fungi","Ascomycota","Lecanoromycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV168","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Trametes","versicolor","Saprotroph","Wood Saprotroph","White Rot","Highly Probable","NULL","Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo","Trametes_versicolor"
"ASV170","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","ostrea","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Stereum_ostrea"
"ASV171","Fungi","Ascomycota","Lecanoromycetes","Trapeliales","Phlyctidaceae","Phlyctis","agelaea","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Phlyctis_agelaea"
"ASV172","Fungi","Ascomycota","Sordariomycetes","Togniniales","Togniniaceae","Phaeoacremonium","inflatipes","Pathotroph","Plant Pathogen","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Phaeoacremonium_inflatipes"
"ASV173","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Trichoderma_NA"
"ASV175","Fungi","Basidiomycota","Atractiellomycetes","Atractiellales","Atractiellales_fam_Incertae_sedis","Helicogloea","pellucida","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Helicogloea_pellucida"
"ASV176","Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Cryptendoxyla","hypophloia","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Cryptendoxyla_hypophloia"
"ASV178","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Scheffersomyces","lignosus","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Scheffersomyces_lignosus"
"ASV179","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus","plautus","Pathotroph-Saprotroph","Bryophyte Parasite-Litter Saprotroph-Wood Saprotroph","White Rot","Probable","NULL","Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; James TY, et al. 2006. Nature 443:818-822; Tedersoo L, et al. 2014. Science 346:1256688","Pluteus_plautus"
"ASV181","Fungi","Ascomycota","NA","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV182","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","NA","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","NULL","Probable","Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)","Neocucurbitaria_NA"
"ASV183","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Nemania_NA"
"ASV186","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Phaeotremellaceae","Phaeotremella","NA","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","NULL","Possible","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Phaeotremella_NA"
"ASV187","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","NA","Symbiotroph","Endophyte","NULL","Highly Probable","Dark Septate Endophyte, known from plant roots.","Tedersoo L, et al. 2014. Science 346:1256688","Capronia_NA"
"ASV189","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Penicillium_NA"
"ASV190","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania","NA","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Nemania_NA"
"ASV192","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Acremonium","hennebertii","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Endophyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph","Soft Rot","Possible","Endophyte detection method-culture (Hanada et al. 2010, Del Olmo-Ruiz & Arnold 2014); Likely opportunistic human pathogen (Irinyi et al. 2015)","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-64; Nilsson T. 1973. Studies on wood degradation and cellulolytic activity of microfungi. No. 104; Worrall JJ, et al. 1997. Mycologia 89: 199-219; Hanada RE, et al. 2010. Fungal Biology 114:901-910; Del Olmo-Ruiz M, Arnold AE. 2014. Mycologia 106:8-21; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337","Acremonium_hennebertii"
"ASV193","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","victoriae","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","NULL","Possible","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Vishniacozyma_victoriae"
"ASV194","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Kretzschmaria","deusta","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Kretzschmaria_deusta"
"ASV195","Fungi","Ascomycota","Sordariomycetes","Hypocreales","NA","NA","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","NA_NA"
"ASV196","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Tremella","lloydiae-candidae","Pathotroph","Fungal Parasite-Lichen Parasite","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Tremella_lloydiae-candidae"
"ASV197","Fungi","Ascomycota","Sordariomycetes","Pleurotheciales","Pleurotheciaceae","Phaeoisaria","NA","Saprotroph","Undefined Saprotroph-Wood Saprotroph","Soft Rot","Probable","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645; Tedersoo L, et al. 2014. Science 346:1256688","Phaeoisaria_NA"
"ASV198","Fungi","Ascomycota","Lecanoromycetes","Candelariales","Candelariaceae","Candelaria","concolor","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Candelaria_concolor"
"ASV199","Fungi","Basidiomycota","Dacrymycetes","Dacrymycetales","Dacrymycetaceae","Calocera","cornea","Saprotroph","Wood Saprotroph","Brown Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688; Nagy LG et al. 2016. Molecular Biology and Evolution 33:959-970","Calocera_cornea"
"ASV201","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Amorosiaceae","Angustimassarina","acerina","Pathotroph-Saprotroph","Fungal Parasite-Wood Saprotroph","NULL","Highly Probable","On fungi or dead wood in terrestrial habitats (Thambugala et al. 2015)","Thambugala KM, et al. 2015. Fungal Diversity 74:199-266","Angustimassarina_acerina"
"ASV202","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Sugiyamaella","novakii","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Sugiyamaella_novakii"
"ASV203","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Trametes","versicolor","Saprotroph","Wood Saprotroph","White Rot","Highly Probable","NULL","Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo","Trametes_versicolor"
"ASV205","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Fomes","fomentarius","Saprotroph","Wood Saprotroph","Brown Rot-White Rot","Probable","Lignicolous, causing brown or white rot, mostly of broadleaved trees (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge","Fomes_fomentarius"
"ASV207","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Marchandiomyces","buckii","Pathotroph","Lichen Parasite","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]","Marchandiomyces_buckii"
"ASV208","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Inonotus","rickii","Saprotroph","Wood Saprotroph","White Rot","Highly Probable","NULL","Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo","Inonotus_rickii"
"ASV209","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","ostrea","Saprotroph","Undefined Saprotroph","White Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Stereum_ostrea"
"ASV210","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Pertusariaceae","Pertusaria","pertusa","Symbiotroph","Lichenized","NULL","Highly Probable","NULL","Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)","Pertusaria_pertusa"
"ASV211","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","NA","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","NULL","Probable","Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)","Neocucurbitaria_NA"
"ASV212","Fungi","Ascomycota","Lecanoromycetes","NA","NA","NA","NA","-","-","-","-","Unassigned","-","NA_NA"
"ASV214","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","NA","Saprotroph","Undefined Saprotroph","NULL","Possible","NULL","Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158","Penicillium_NA"
"ASV215","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Natantiella","ligneola","Saprotroph","Undefined Saprotroph","NULL","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688","Natantiella_ligneola"
"ASV216","Fungi","Basidiomycota","Dacrymycetes","Dacrymycetales","Dacrymycetaceae","Calocera","NA","Saprotroph","Wood Saprotroph","Brown Rot","Probable","NULL","Tedersoo L, et al. 2014. Science 346:1256688; Nagy LG et al. 2016. Molecular Biology and Evolution 33:959-970","Calocera_NA"
